,0,1,2,3,4
7177,"""Postino Arcadia""","""Joe's Midnight Run""","""Butterfield's Pancake House""","""Musashi Japanese Steakhouse""","""Earl of Sandwich"""
7178,"""Wildflower Bread Company""","""Thai Room""","""Butterfield's Pancake House""","""Pastel Creperies & Dessert House""","""Kai"""
7179,"""Bannock""","""Lucky's Café""","""Postino Arcadia""","""Hash Kitchen""","""Fat Heads Brewery and Saloon"""
7180,"""Angelo's Pizza""","""Dumpling House Restaurant""","""Pastel Creperies & Dessert House""","""Salad King Restaurant""","""Le Robin Square"""
7181,"""Yama Sushi""","""Nobuo At Teeter House""","""Guy Fieri's Vegas Kitchen & Bar""","""BARDOT Brasserie""","""Ahipoki Bowl"""
7182,"""Graze""","""Guy Savoy""","""Pita Jungle""","""Postino Arcadia""","""Richardson's"""
7183,"""N9NE Steakhouse""","""Makai Pacific Island Grill""","""Ocotillo""","""Adamson Barbecue""","""Grand Lux Cafe"""
7184,"""Chilli Chicken House""","""Sonora Mesquite Grill""","""Yummy Grill & Sushi""","""Barrio""","""Cibo"""
7185,"""The Melting Pot-  Scottsdale""","""Futo Buta""","""Presti's Bakery""","""Lucky's Café""","""Angelo's Pizza"""
7186,"""Chon Thai Food""","""Burrito Boyz""","""Cheba Hut""","""Angelo's Pizza""","""Lucky's Café"""
7187,"""Babbo Italian Eatery""","""Barrio""","""OHSO Brewery - Paradise Valley""","""Butterfield's Pancake House""","""Postino Arcadia"""
7188,"""The Carbon Bar""","""Nobuo At Teeter House""","""Yama Sushi""","""N9NE Steakhouse""","""Cactus Club Cafe"""
7189,"""Firefly""","""Burrito Boyz""","""Kaiju""","""Flaming Kabob""","""Cactus Club Cafe"""
7190,"""Wonder Bar Steakhouse""","""Sorso Wine Room""","""OHSO Brewery - Paradise Valley""","""Fukuburger Truck""","""China Magic Noodle House"""
7191,"""Tommy's Restaurant""","""Allspice Bakery Cafe""","""Izakaya Go""","""Soho Japanese Restaurant""","""Umiya Sushi"""
7192,"""Guy Savoy""","""Hobak Korean BBQ""","""Broadway Pizzeria""","""Cibo""","""Stino Da Napoli"""
7193,"""Adamson Barbecue""","""The Shore Club - Toronto""","""Angelo's Pizza""","""N9NE Steakhouse""","""Umiya Sushi"""
7194,"""Tommy's Restaurant""","""Dorothy 6 Blast Furnace Cafe""","""Mert's Heart & Soul""","""DW Bistro""","""Adamson Barbecue"""
7195,"""Futo Buta""","""Sinatra""","""Lucky's Café""","""Firefly""","""Kid Cashew"""
7196,"""Hash Kitchen""","""China Magic Noodle House""","""Postino Arcadia""","""Blue Adobe Grille""","""Deagan's Kitchen & Bar"""
7197,"""Living Kitchen""","""Other Mama""","""Postino Arcadia""","""N9NE Steakhouse""","""Angelo's Pizza"""
7198,"""Momofuku Daish?""","""Salt Cellar""","""Le Robin Square""","""Kaiju""","""Cactus Club Cafe"""
7199,"""FIKA""","""Yummy Grill & Sushi""","""Izakaya Go""","""Butterfield's Pancake House""","""Pastel Creperies & Dessert House"""
7200,"""DW Bistro""","""Cibo""","""Eiffel Tower""","""Island Sushi & Grill""","""Grand Lux Cafe"""
7201,"""Sushi Kaji Restaurant""","""Presti's Bakery""","""Angelo's Pizza""","""Barrio""","""Postino Arcadia"""
7202,"""Archi's Thai Cafe""","""The County General""","""Fukuburger Truck""","""Other Mama""","""Postino Arcadia"""
7203,"""The Fry Bread House""","""Blaze Fast-Fire'd Pizza""","""Adamson Barbecue""","""Firefly""","""Hobak Korean BBQ"""
7204,"""Ohana Hawaiian BBQ""","""Liberty Market""","""Eiffel Tower""","""Umiya Sushi""","""Ahipoki Bowl"""
7205,"""Eiffel Tower""","""Grand Lux Cafe""","""DW Bistro""","""L'Atelier de Joël Robuchon""","""Island Sushi & Grill"""
7206,"""Butterfield's Pancake House""","""Gyu-Kaku Japanese BBQ""","""DW Bistro""","""Izakaya Go""","""Hobak Korean BBQ"""
7207,"""Tori's Bakeshop""","""OHSO Brewery - Paradise Valley""","""Lucky's Café""","""Postino Arcadia""","""Dumpling House Restaurant"""
7208,"""Cartel Coffee Lab""","""Spago by Wolfgang Puck""","""Sicilian Sidewalk Cafe""","""Sidecar""","""BARDOT Brasserie"""
7209,"""FnB""","""Adamson Barbecue""","""Poke Guys""","""Blaze Fast-Fire'd Pizza""","""Postino Arcadia"""
7210,"""Deville Dinerbar""","""Futo Buta""","""Yummy Grill & Sushi""","""Eiffel Tower""","""Izakaya Go"""
7211,"""Soho Japanese Restaurant""","""Sugar River Pizza""","""Guy Savoy""","""Due Forni""","""Other Mama"""
7212,"""Izakaya Go""","""Poke Guys""","""Blaze Fast-Fire'd Pizza""","""Bobby's Burger Palace""","""Freshbox McDowell Mountain"""
7213,"""Nee House Chinese Restaurant""","""Tacos Tijuana""","""Sushi Station""","""Los Tacos""","""WTPho"""
7214,"""Yupha's Thai Kitchen""","""Monastery Bakery & Delicatessen""","""Angelo's Pizza""","""Liberty Market""","""Burrito Boyz"""
7215,"""Barrio Queen""","""Paymon's Mediterranean Cafe & Lounge""","""Le Robin Square""","""Musashi Japanese Steakhouse""","""Monti's La Casa Vieja"""
7216,"""Beckett's Table""","""ML Tavern""","""Downtown Terrace""","""Butterfield's Pancake House""","""Hobak Korean BBQ"""
7217,"""Yama Sushi""","""DW Bistro""","""Sidecar""","""Chicago Gyros""","""Nobuo At Teeter House"""
7218,"""Carmine's Pizza Kitchen""","""Bannock""","""Fat Heads Brewery and Saloon""","""Poke Guys""","""Ahipoki Bowl"""
7219,"""DB Brasserie""","""Bannock""","""BLT Burger""","""Cracker Barrel Old Country Store""","""Fat Heads Brewery and Saloon"""
7220,"""Postino Arcadia""","""FnB""","""Tandoori Times Indian Bistro""","""Cibo""","""Blaze Fast-Fire'd Pizza"""
7221,"""Due Forni""","""Makai Pacific Island Grill""","""Javier's""","""Fukuburger Truck""","""Other Mama"""
7222,"""Andre's""","""Irma's Kitchen""","""Hobak Korean BBQ""","""Pinches Tacos""","""Postino Arcadia"""
7223,"""Miracle Mile Delicatessen""","""Blaze Fast-Fire'd Pizza""","""FnB""","""Postino Arcadia""","""Breakfast Club- CityScape"""
7224,"""Ocotillo""","""Carmen""","""Grand Lux Cafe""","""Postino Arcadia""","""The County General"""
7225,"""Joe Beef""","""Due Forni""","""Soho Japanese Restaurant""","""Hobak Korean BBQ""","""Cafe Breizh"""
7226,"""Deagan's Kitchen & Bar""","""Thai Elephant""","""Beckett's Table""","""Hash Kitchen""","""M&M Soul Food Cafe"""
7227,"""Due Forni""","""Ahipoki Bowl""","""Guy Fieri's Vegas Kitchen & Bar""","""Soho Japanese Restaurant""","""Beckett's Table"""
7228,"""Liberty Market""","""Ahipoki Bowl""","""Frost Gelato""","""Angelo's Pizza""","""Cibo"""
7229,"""Guy Savoy""","""Fukuburger Truck""","""Due Forni""","""Soho Japanese Restaurant""","""Other Mama"""
7230,"""Adamson Barbecue""","""Naked Fish's Sushi & Grill""","""Firefly""","""Blaze Fast-Fire'd Pizza""","""Altius"""
7231,"""Fukuburger Truck""","""Liberty Market""","""Postino Arcadia""","""Sorso Wine Room""","""George's Kitchen"""
7232,"""Angelo's Pizza""","""Frost Gelato""","""Fat Heads Brewery and Saloon""","""Lucky's Café""","""Postino Arcadia"""
7233,"""Liberty Market""","""Guy Fieri's Vegas Kitchen & Bar""","""Foundation Room""","""DW Bistro""","""Cibo"""
7234,"""Lola Coffee""","""Le Robin Square""","""Salt Cellar""","""Postino Arcadia""","""Butterfield's Pancake House"""
7235,"""School Restaurant""","""Kaiju""","""Presti's Bakery""","""Lucky's Café""","""Angelo's Pizza"""
7236,"""Beckett's Table""","""FnB""","""Barro's Pizza""","""Postino Arcadia""","""Liberty Market"""
7237,"""M&M Soul Food Cafe""","""Musashi Japanese Steakhouse""","""Fat Heads Brewery and Saloon""","""Graze""","""Postino Arcadia"""
7238,"""Blaze Fast-Fire'd Pizza""","""Shangri-La Hotel""","""Sushi Kaji Restaurant""","""Tommy's Restaurant""","""Hugo's Cellar"""
7239,"""FnB""","""Poke Guys""","""Ocotillo""","""DW Bistro""","""Adamson Barbecue"""
7240,"""Deagan's Kitchen & Bar""","""Bamiyan Kabob""","""Lucky's Café""","""Eiffel Tower""","""Burrito Boyz"""
7241,"""The Shore Club - Toronto""","""Fat Heads Brewery and Saloon""","""Cactus Club Cafe""","""Market Street Catch""","""Bannock"""
7242,"""Island Foods""","""Frost Gelato""","""Butterfield's Pancake House""","""Fat Heads Brewery and Saloon""","""Lola Coffee"""
7243,"""Bannock""","""Liberty Market""","""N9NE Steakhouse""","""Angelo's Pizza""","""School Restaurant"""
7244,"""Sunrise House""","""Butterfield's Pancake House""","""Burrito Boyz""","""Yupha's Thai Kitchen""","""Tups Specialty Sandwiches"""
7245,"""Cibo""","""Blaze Fast-Fire'd Pizza""","""Due Forni""","""The Herb Box""","""Sidecar"""
7246,"""Thai Elephant""","""Spago by Wolfgang Puck""","""Sinatra""","""Due Forni""","""Angelo's Pizza"""
7247,"""Javier's""","""The Hummus Factory""","""Makai Pacific Island Grill""","""Fukuburger Truck""","""Other Mama"""
7248,"""Poke Guys""","""Petite Maison""","""Burrito Boyz""","""Dumpling House Restaurant""","""Kaiju"""
7249,"""Presti's Bakery""","""Sushi Place""","""Cactus Club Cafe""","""Angelo's Pizza""","""Adamson Barbecue"""
7250,"""Pinches Tacos""","""The Hummus Factory""","""Naked Fish's Sushi & Grill""","""Umiya Sushi""","""Craft Tasting Room & Growler Shop"""
7251,"""Cartel Coffee Lab""","""Lola Coffee""","""Cibo""","""Miracle Mile Delicatessen""","""Postino Arcadia"""
7252,"""Bannock""","""Chon Thai Food""","""Soho Japanese Restaurant""","""Lucky's Café""","""Burrito Boyz"""
7253,"""Island Sushi & Grill""","""Orange Sky""","""China A Go Go""","""Bragg's Factory Diner""","""Barrio"""
7254,"""Blaze Fast-Fire'd Pizza""","""Poke Guys""","""Umiya Sushi""","""Postino Arcadia""","""Sunrise House"""
7255,"""The Wrigley Mansion Club""","""Raising Cane's""","""Deagan's Kitchen & Bar""","""Thirsty Lion Gastropub & Grill""","""China Magic Noodle House"""
7256,"""OHSO Brewery - Paradise Valley""","""T & J Asian Cuisine""","""China Magic Noodle House""","""The Herb Box""","""Barrio"""
7257,"""Cibo""","""Danny Boy's Pizza""","""Postino Arcadia""","""Deagan's Kitchen & Bar""","""Fat Heads Brewery and Saloon"""
7258,"""Earls Kitchen + Bar""","""The Herb Box""","""Burrito Boyz""","""Spago by Wolfgang Puck""","""Pino's Pizza Al Centro"""
7259,"""Lucky's Café""","""Paina Cafe""","""Firefly""","""Aroowha Sushi & Sake Bar""","""Dumpling House Restaurant"""
7260,"""Cibo""","""Lucky's Café""","""Presti's Bakery""","""Swensons Drive-In""","""Barrio"""
7261,"""Hash Kitchen""","""Postino Arcadia""","""Deagan's Kitchen & Bar""","""Cibo""","""Ta'Carbon"""
7262,"""Sushi Kaji Restaurant""","""Bomb Tacos""","""Buon Gusto Ristorante""","""Yupha's Thai Kitchen""","""Cibo"""
7263,"""Ohana Hawaiian BBQ""","""Frost Gelato""","""Ahipoki Bowl""","""Aloha Kitchen & Bar""","""Eiffel Tower"""
7264,"""California Sandwiches""","""Yummy Grill & Sushi""","""Lola Coffee""","""Cibo""","""Island Foods"""
7265,"""Angelo's Pizza""","""Frost Gelato""","""Postino Arcadia""","""Liberty Market""","""Ahipoki Bowl"""
7266,"""Liberty Market""","""Blaze Fast-Fire'd Pizza""","""Soho Japanese Restaurant""","""Frost Gelato""","""Tommy's Restaurant"""
7267,"""Makai Pacific Island Grill""","""The Barrymore""","""Benny Pennello's""","""Angelo's Pizza""","""N9NE Steakhouse"""
7268,"""Hash Kitchen""","""The Barrymore""","""Vivace""","""The Habit Burger Grill""","""Lucky's Café"""
7269,"""Frost Gelato""","""Sushi Kaji Restaurant""","""N9NE Steakhouse""","""School Restaurant""","""Angelo's Pizza"""
7270,"""Federick""","""Hash Kitchen""","""Deagan's Kitchen & Bar""","""Cibo""","""Postino Arcadia"""
7271,"""Kaiju""","""Pastel Creperies & Dessert House""","""Blaze Fast-Fire'd Pizza""","""Hobak Korean BBQ""","""Cactus Club Cafe"""
7272,"""Sorso Wine Room""","""Liberty Market""","""Blaze Fast-Fire'd Pizza""","""School Restaurant""","""Postino Arcadia"""
7273,"""Blue Adobe Grille""","""Blaze Fast-Fire'd Pizza""","""M&M Soul Food Cafe""","""Yupha's Thai Kitchen""","""Cibo"""
7274,"""The Uprooted Kitchen""","""Sushi Catcher""","""Tommy's Restaurant""","""FnB""","""Liberty Market"""
7275,"""Joe's Midnight Run""","""Taqueria Mi Casita""","""Other Mama""","""Monty's Blue Plate Diner""","""Due Forni"""
7276,"""Ahipoki Bowl""","""Hoosier Cafe""","""Frost Gelato""","""Beckett's Table""","""Liberty Market"""
7277,"""Musashi Japanese Steakhouse""","""Other Mama""","""Hobak Korean BBQ""","""Butterfield's Pancake House""","""Tacos & Beer"""
7278,"""Cafe Breizh""","""Petite Maison""","""Nobuo At Teeter House""","""Cartel Coffee Lab""","""Blaze Fast-Fire'd Pizza"""
7279,"""Tups Specialty Sandwiches""","""Eiffel Tower""","""Tommy's Restaurant""","""Cactus Club Cafe""","""Frost Gelato"""
7280,"""Thai Elephant""","""Yupha's Thai Kitchen""","""Garage Wine and Tap""","""Guy Fieri's Vegas Kitchen & Bar""","""Spago by Wolfgang Puck"""
7281,"""Cartel Coffee Lab""","""Yummy Grill & Sushi""","""Musashi Japanese Steakhouse""","""Original ChopShop""","""Yupha's Thai Kitchen"""
7282,"""Pop Up Pizza""","""Pho Saigon 8""","""Musashi Japanese Steakhouse""","""Due Forni""","""Paymon's Mediterranean Cafe & Lounge"""
7283,"""Frost Gelato""","""Lim Ga Ne""","""Cactus Club Cafe""","""Angelo's Pizza""","""Sushi Kaji Restaurant"""
7284,"""The Fry Bread House""","""Lucky's Café""","""Tommy's Restaurant""","""Naked Fish's Sushi & Grill""","""Eiffel Tower"""
7285,"""Angelo's Pizza""","""Burrito Boyz""","""Lucky's Café""","""Cactus Club Cafe""","""Kaiju"""
7286,"""Las Palmas""","""Poke Guys""","""Sidecar""","""Ahipoki Bowl""","""Guy Fieri's Vegas Kitchen & Bar"""
7287,"""FnB""","""Blaze Fast-Fire'd Pizza""","""Los Tacos""","""DW Bistro""","""Cibo"""
7288,"""Electric Mud BBQ""","""The Shore Club - Toronto""","""Blaze Fast-Fire'd Pizza""","""Sunrise House""","""Poke Guys"""
7289,"""Butterfield's Pancake House""","""Yummy Grill & Sushi""","""Musashi Japanese Steakhouse""","""Other Mama""","""Postino Arcadia"""
7290,"""Andre's""","""Orange Sky""","""Ni Ji Sushi""","""Paymon's Mediterranean Cafe & Lounge""","""Barrio Queen"""
7291,"""Blaze Fast-Fire'd Pizza""","""AMC Dine-in Theatres Esplanade 14""","""Hugo's Cellar""","""The Herb Box""","""Vito's Pizza & Italian Ristorante"""
7292,"""Charleston's""","""Fat Heads Brewery and Saloon""","""Hookmeup Gourmet Sandwiches""","""Firefly""","""Cibo"""
7293,"""Craft 64""","""Musashi Japanese Steakhouse""","""Taqueria Mi Casita""","""Giant Hamburgers""","""Hobak Korean BBQ"""
7294,"""Bonus Round""","""Cibo""","""Joyride Taco House""","""Futo Buta""","""Postino Arcadia"""
7295,"""Postino Arcadia""","""DW Bistro""","""Barrio""","""Other Mama""","""Sonora Mesquite Grill"""
7296,"""Mert's Heart & Soul""","""Blue Adobe Grille""","""Raising Cane's""","""Paymon's Mediterranean Cafe & Lounge""","""Cibo"""
7297,"""Tommy V's Urban Kitchen & Bar""","""Babbo Italian Eatery""","""Miracle Mile Delicatessen""","""Gyu-Kaku Japanese BBQ""","""Cibo"""
7298,"""Postino Arcadia""","""Futo Buta""","""Sunrise House""","""Grand Lux Cafe""","""Chick-fil-A"""
7299,"""Blaze Fast-Fire'd Pizza""","""DW Bistro""","""Foosia""","""Blue Adobe Grille""","""Cibo"""
7300,"""Sushi Catcher""","""Chompie's Deli""","""Nota Bene""","""The Herb Box""","""Craft 64"""
7301,"""Soho Japanese Restaurant""","""Musashi Japanese Steakhouse""","""Butterfield's Pancake House""","""Hobak Korean BBQ""","""Tacos & Beer"""
7302,"""Cibo""","""Miracle Mile Delicatessen""","""Blaze Fast-Fire'd Pizza""","""Breakfast Club- CityScape""","""Cartel Coffee Lab"""
7303,"""Salad King Restaurant""","""Dumpling House Restaurant""","""Pita Jungle""","""Blaze Fast-Fire'd Pizza""","""Postino Arcadia"""
7304,"""Postino Arcadia""","""Poke Guys""","""Sunrise House""","""Dumpling House Restaurant""","""Angelo's Pizza"""
7305,"""Salad King Restaurant""","""Rolling in Dough Cafe""","""Blaze Fast-Fire'd Pizza""","""BARDOT Brasserie""","""Lola's A Louisiana Kitchen"""
7306,"""Republic Ramen + Noodles""","""Presti's Bakery""","""Beckett's Table""","""Postino Arcadia""","""Cartel Coffee Lab"""
7307,"""DOMA""","""Blaze Fast-Fire'd Pizza""","""Salt Cellar""","""Kaiju""","""Poke Guys"""
7308,"""Cactus Club Cafe""","""Pa Pa Chang's""","""Summer's Ice Cream""","""Kaiju""","""Blaze Fast-Fire'd Pizza"""
7309,"""Pastel Creperies & Dessert House""","""Island Sushi & Grill""","""Archi's Thai Cafe""","""The Barrymore""","""Butterfield's Pancake House"""
7310,"""Postino Arcadia""","""Kaiju""","""Butterfield's Pancake House""","""Yupha's Thai Kitchen""","""Le Robin Square"""
7311,"""Hugo's Cellar""","""Raising Cane's""","""Tommy's Restaurant""","""Chompie's Deli""","""Soho Japanese Restaurant"""
7312,"""Babbo Italian Eatery""","""Nee House Chinese Restaurant""","""Ventano Italian Grill & Seafood""","""Makai Pacific Island Grill""","""Umiya Sushi"""
7313,"""Fat Heads Brewery and Saloon""","""DW Bistro""","""Postino Arcadia""","""Other Mama""","""Cibo"""
7314,"""L'Atelier de Joël Robuchon""","""Big Dog's Draft House""","""Paymon's Mediterranean Cafe & Lounge""","""Hobak Korean BBQ""","""Pho Saigon 8"""
7315,"""Pho Saigon 8""","""Paymon's Mediterranean Cafe & Lounge""","""Spago by Wolfgang Puck""","""Hobak Korean BBQ""","""Jardin"""
7316,"""Craft Tasting Room & Growler Shop""","""The Greeks Grill""","""Naked Fish's Sushi & Grill""","""Eiffel Tower""","""Lucky's Café"""
7317,"""Burrito Boyz""","""Soho Japanese Restaurant""","""Lola Coffee""","""Butterfield's Pancake House""","""Songbird Coffee & Tea House"""
7318,"""Cibo""","""Soho Japanese Restaurant""","""Gyu-Kaku Japanese BBQ""","""Izakaya Go""","""Liberty Market"""
7319,"""Nak Won""","""Hurry 4 Curry""","""Lola Coffee""","""Izakaya Go""","""Charleston's"""
7320,"""Eiffel Tower""","""Ohana Hawaiian BBQ""","""Guy Fieri's Vegas Kitchen & Bar""","""Aloha Kitchen & Bar""","""Ahipoki Bowl"""
7321,"""Twisted Meltz""","""Firefly""","""Angelo's Pizza""","""Charleston's""","""Lucky's Café"""
7322,"""Carmen""","""Sushi Kaji Restaurant""","""Poke Guys""","""Blaze Fast-Fire'd Pizza""","""Postino Arcadia"""
7323,"""Archi's Thai Cafe""","""Cibo""","""Other Mama""","""Butterfield's Pancake House""","""Postino Arcadia"""
7324,"""Summer's Ice Cream""","""Blaze Fast-Fire'd Pizza""","""Poke Guys""","""Kaiju""","""Momofuku Daish?"""
7325,"""Jardin""","""Rolling in Dough Cafe""","""Garage Wine and Tap""","""L'Atelier de Joël Robuchon""","""Spago by Wolfgang Puck"""
7326,"""Petite Maison""","""Soho Japanese Restaurant""","""Dumpling House Restaurant""","""Blaze Fast-Fire'd Pizza""","""Burrito Boyz"""
7327,"""Cibo""","""FnB""","""Blaze Fast-Fire'd Pizza""","""Thai Elephant""","""La Tolteca Mexican Foods"""
7328,"""Eiffel Tower""","""Mert's Heart & Soul""","""Le Robin Square""","""Island Sushi & Grill""","""Adamson Barbecue"""
7329,"""La Tolteca Mexican Foods""","""Guy Fieri's Vegas Kitchen & Bar""","""Kodo Sushi Sake""","""Beckett's Table""","""Orange Sky"""
7330,"""Le Robin Square""","""Kaiju""","""Blaze Fast-Fire'd Pizza""","""Babbo Italian Eatery""","""Yupha's Thai Kitchen"""
7331,"""Bragg's Factory Diner""","""Futo Buta""","""Cozumel""","""The Black Pig""","""Bobby's Burger Palace"""
7332,"""L'Atelier de Joël Robuchon""","""The County General""","""Lola Coffee""","""N9NE Steakhouse""","""Angelo's Pizza"""
7333,"""Leticia's Mexican Cocina At Tivoli Village""","""The Hummus Factory""","""Makai Pacific Island Grill""","""Barrio Queen""","""Pop Up Pizza"""
7334,"""Chompie's Deli""","""N9NE Steakhouse""","""Vito's Pizza & Italian Ristorante""","""Angelo's Pizza""","""The Herb Box"""
7335,"""Burrito Boyz""","""Original ChopShop""","""Butterfield's Pancake House""","""Pastel Creperies & Dessert House""","""Yummy Grill & Sushi"""
7336,"""Grand Lux Cafe""","""Joyride Taco House""","""Ocotillo""","""Chicago Gyros""","""Salt Cellar"""
7337,"""Yummy Grill & Sushi""","""Butterfield's Pancake House""","""The Barrymore""","""Other Mama""","""Archi's Thai Cafe"""
7338,"""U.S. Egg""","""School Restaurant""","""Sushi Kaji Restaurant""","""N9NE Steakhouse""","""Angelo's Pizza"""
7339,"""Cheese N Stuff Deli""","""Yupha's Thai Kitchen""","""Frost Gelato""","""Burrito Boyz""","""Monty's Blue Plate Diner"""
7340,"""Toasted""","""La Hacienda""","""Charleston's""","""Salt Cellar""","""Liberty Market"""
7341,"""Broadway Pizzeria""","""Crown & Anchor British Pub""","""The Hummus Factory""","""Naked Fish's Sushi & Grill""","""Eiffel Tower"""
7342,"""Gordon Biersch Brewery Restaurant""","""Barrio""","""Uni Sushi & Steak""","""Big Buddha""","""Nota Bene"""
7343,"""Pizza Brutta""","""Cactus Club Cafe""","""Bragg's Factory Diner""","""Adamson Barbecue""","""Cheba Hut"""
7344,"""Downtown Terrace""","""The Harbord Room""","""Hobak Korean BBQ""","""Lucky's Café""","""Butterfield's Pancake House"""
7345,"""Kaiju""","""Fat Heads Brewery and Saloon""","""DW Bistro""","""Adamson Barbecue""","""Blaze Fast-Fire'd Pizza"""
7346,"""Ocotillo""","""Chicago Gyros""","""Stacks & Yolks""","""DW Bistro""","""Grand Lux Cafe"""
7347,"""Fat Heads Brewery and Saloon""","""Songbird Coffee & Tea House""","""Lucky's Café""","""Fukuburger Truck""","""Postino Arcadia"""
7348,"""Buon Gusto Ristorante""","""Kaiju""","""Grand Lux Cafe""","""Poke Guys""","""Stacks & Yolks"""
7349,"""The Fry Bread House""","""Cartel Coffee Lab""","""Chompie's Deli""","""Spago by Wolfgang Puck""","""Tori's Bakeshop"""
7350,"""Lucky's Café""","""FnB""","""Island Sushi & Grill""","""Postino Arcadia""","""Barrio"""
7351,"""Blaze Fast-Fire'd Pizza""","""Cibo""","""Carousel Bakery""","""Postino Arcadia""","""Soho Japanese Restaurant"""
7352,"""Other Mama""","""Due Forni""","""Joyride Taco House""","""Soho Japanese Restaurant""","""Stacks & Yolks"""
7353,"""China Mama Restaurant""","""Original ChopShop""","""Makai Pacific Island Grill""","""Joe's New York Pizza""","""Hobak Korean BBQ"""
7354,"""Pa Pa Chang's""","""Gyu-Kaku Japanese BBQ""","""Due Forni""","""The Carbon Bar""","""Soho Japanese Restaurant"""
7355,"""Maple Bakery""","""BARDOT Brasserie""","""Cartel Coffee Lab""","""Archi's Thai Cafe""","""Orange Sky"""
7356,"""Bragg's Factory Diner""","""RePete's""","""Salt Cellar""","""Lola Coffee""","""Liberty Market"""
7357,"""Blaze Fast-Fire'd Pizza""","""Liberty Market""","""Yao Fine Chinese Cuisine""","""Postino Arcadia""","""Frost Gelato"""
7358,"""DW Bistro""","""New Orleans Take-Out""","""Island Sushi & Grill""","""Barrio""","""Grand Lux Cafe"""
7359,"""Island Sushi & Grill""","""Hash Kitchen""","""Liberty Market""","""Eiffel Tower""","""Cibo"""
7360,"""Dumpling House Restaurant""","""M&M Soul Food Cafe""","""Hash House A Go Go""","""Soho Japanese Restaurant""","""Yupha's Thai Kitchen"""
7361,"""Spago by Wolfgang Puck""","""Sidecar""","""Pino's Pizza Al Centro""","""Kodo Sushi Sake""","""BARDOT Brasserie"""
7362,"""Burrito Boyz""","""Kaiju""","""Sushi Station""","""Winking Lizard Tavern""","""Angelo's Pizza"""
7363,"""Cibo""","""Kaiju""","""Soho Japanese Restaurant""","""AMC Dine-in Theatres Esplanade 14""","""Tree Country Bistro"""
7364,"""Chompie's Deli""","""Blaze Fast-Fire'd Pizza""","""Petite Maison""","""Dumpling House Restaurant""","""Tori's Bakeshop"""
7365,"""Taqueria Mi Casita""","""Adamson Barbecue""","""Chicago Gyros""","""Firefly""","""Craft 64"""
7366,"""Pita Jungle""","""Ike's Love & Sandwiches""","""Beckett's Table""","""Postino Arcadia""","""Richardson's"""
7367,"""Beckett's Table""","""Cafe Breizh""","""Blaze Fast-Fire'd Pizza""","""Barrio Queen""","""Cartel Coffee Lab"""
7368,"""Firefly""","""Craft 64""","""Grand Lux Cafe""","""Adamson Barbecue""","""Makai Pacific Island Grill"""
7369,"""Monty's Blue Plate Diner""","""Cheese N Stuff Deli""","""Aloha Kitchen & Bar""","""Guy Fieri's Vegas Kitchen & Bar""","""Cibo"""
7370,"""SOLO Trattoria""","""The Herb Box""","""Blaze Fast-Fire'd Pizza""","""Dumpling House Restaurant""","""Postino Arcadia"""
7371,"""Benny Pennello's""","""Futo Buta""","""Other Mama""","""Grand Lux Cafe""","""DW Bistro"""
7372,"""Paymon's Mediterranean Cafe & Lounge""","""Beckett's Table""","""Salt Cellar""","""Liberty Market""","""Cibo"""
7373,"""Kaiju""","""Guy Fieri's Vegas Kitchen & Bar""","""Raising Cane's""","""Cibo""","""Yupha's Thai Kitchen"""
7374,"""Archi's Thai Cafe""","""The Barrymore""","""Pop Up Pizza""","""Stacks & Yolks""","""Other Mama"""
7375,"""Yanni's Gyros""","""Blue Adobe Grille""","""Fleming's Prime Steakhouse - Peoria""","""Soho Japanese Restaurant""","""China Magic Noodle House"""
7376,"""Blaze Fast-Fire'd Pizza""","""Cibo""","""Sekushi Japanese Restaurant""","""Firefly""","""Adamson Barbecue"""
7377,"""Firefly""","""McCormick & Schmick's Seafood & Steaks""","""Sinatra""","""Andre's""","""Taqueria Mi Casita"""
7378,"""BARDOT Brasserie""","""Republic Ramen + Noodles""","""Barrio""","""Lucky's Café""","""Sushi Station"""
7379,"""Adamson Barbecue""","""Andre's""","""Poke Guys""","""Blaze Fast-Fire'd Pizza""","""Bootleggers Modern American Smokehouse"""
7380,"""Electric Mud BBQ""","""Ahipoki Bowl""","""Salt Cellar""","""Angelo's Pizza""","""Orange Sky"""
7381,"""Hoosier Cafe""","""Original ChopShop""","""Lucky's Café""","""Dumpling House Restaurant""","""Island Sushi & Grill"""
7382,"""Ike's Love & Sandwiches""","""Burrito Boyz""","""Sunrise House""","""Postino Arcadia""","""Anatolia Restaurant"""
7383,"""Mert's Heart & Soul""","""Ni Ji Sushi""","""Paymon's Mediterranean Cafe & Lounge""","""Lucky's Café""","""Firefly"""
7384,"""L'Atelier de Joël Robuchon""","""Postino Arcadia""","""Guy Fieri's Vegas Kitchen & Bar""","""BARDOT Brasserie""","""Cibo"""
7385,"""Pura Vida""","""Yupha's Thai Kitchen""","""Taza A Lebanese Grill""","""Burrito Boyz""","""M&M Soul Food Cafe"""
7386,"""Lucky's Café""","""Paymon's Mediterranean Cafe & Lounge""","""Pizza Brutta""","""Adamson Barbecue""","""Cheba Hut"""
7387,"""Tommy's Restaurant""","""Blaze Fast-Fire'd Pizza""","""Hugo's Cellar""","""Soho Japanese Restaurant""","""Due Forni"""
